year,from,to,count
2018,History_of_Linux,Copyleft,207
2018,Unicode,GTK+,198
2018,Character,Character_(computing),719
2018,Currency_symbol,Colón_(currency),214
2018,ASCII,Internet_Assigned_Numbers_Authority,1894
2018,Typography,Storyboard,79
2018,Typography,Ancient_history,125
2018,Bullet_(typography),Full_stop,384
2018,Plus_and_minus_signs,Dash,995
2018,Full_stop,Devanagari,161
2018,List_of_symbols,Asterisk,1595
2018,Copyright_symbol,Guillemet,573
2018,Full_stop,Guillemet,981
2018,Colon_(punctuation),CNS_11643,168
2018,Unix_file_types,Hyphen-minus,50
2018,Irony_punctuation,Interpunct,138
2018,Quantum_programming,Programming_language,629
2018,At_sign,Amphora,151
2018,Dagger_(typography),Note_(typography),1878
2018,Latin_script_in_Unicode,ASCII,286
2018,STL_(file_format),ASCII,401
2018,Magic_number_(programming),ASCII,58
2018,TempleOS,ASCII,204
2018,List_of_binary_codes,ASCII,772
2018,Dash,Tilde,1051
2018,Windows-1252,Tilde,119
2018,Glyph,Style_guide,101
2018,Currency_symbol,Indian_rupee_sign,4714
2018,Sic,Bracket,106
2018,User_interface,Command-line_interface,819
2018,Getopt,Command-line_interface,215
2018,Letter_(alphabet),Syllable,357
2018,Italian_phonology,Syllable,250
2018,Section_sign,Inverted_question_and_exclamation_marks,264
2018,Classless_Inter-Domain_Routing,Slash_(punctuation),476
2018,International_System_of_Units,Slash_(punctuation),179
2018,Unicode,Rongorongo,323
2018,Sagittarius_(constellation),Unicode,334
2018,Fu_(character),Unicode,134
2018,Copyleft,Lawrence_Lessig,573
2018,Tilde,Spanish_language,524
2018,Typography,.design,81
2018,Typography,Good_Design_Award_(Japan),83
2018,Inverted_question_and_exclamation_marks,Basis_point,165
2018,Bracket,E._E._Cummings,43
2018,Currency_symbol,Hungarian_forint,115
2018,Inverted_question_and_exclamation_marks,Ellipsis,302
2018,Typography,Tableless_web_design,59
2018,Dagger_(typography),Transition_state,91
2018,Colon_(punctuation),Modern_Language_Association,175
2018,Typography,Sustainable_furniture_design,102
2018,Copyleft,GNU_Classpath,739
