year,from,to,count
2022,Battle_of_Carrhae,Antony's_Atropatene_campaign,342
2022,Twenty-seventh_Dynasty_of_Egypt,Pharaoh,81
2022,Eunuch,Ahmed_es-Sikeli,215
2022,Priapatius,Parthian_Empire,57
2022,Alexander_the_Great,Cassander,296
2022,History_of_the_Mediterranean_region,Mediterranean_Sea,133
2022,Harald_Hardrada,Mediterranean_Sea,44
2022,North_Sea,Mediterranean_Sea,32
2022,Death_of_Alexander_the_Great,Death_of_Cleopatra,465
2022,Egyptian_hieroglyphs,Ptolemaic_dynasty,140
2022,Ancient_Macedonians,Cattle,31
2022,Mark_Antony,Eleusinian_Mysteries,57
2022,Alexandria,Rosetta,302
2022,Philip_II_of_Macedon,Classical_Greece,124
2022,Hellenistic_period,Classical_Greece,4302
2022,Cleopatra_(1963_film),Richard_Burton,4451
2022,Roman_Republic,Roman_tribe,33
2022,Hasmonean_Civil_War,Pompey,32
2022,Marcus_Aemilius_Scaurus_(praetor_56_BC),Pompey,11
2022,Alexandria,Cleopatra,136
2022,Aleppo_soap,Cleopatra,32
2022,48_BC,Cleopatra,10
2022,Milk_bath,Cleopatra,67
2022,Egyptian_cobra,Cleopatra,290
2022,Burlesque,Blaze_Starr,147
2022,"Tarsus,_Mersin",Kızlar_Castle,63
2022,Julius_Caesar,Pompeii,141
2022,Nefertiti,Doctor_Who,49
2022,Juba_II,Iles_Purpuraires,78
2022,Master_of_the_Horse,Roman_dictator,55
2022,List_of_assassinated_and_executed_heads_of_state_and_government,Roman_dictator,12
2022,Cleopatra,Education_in_ancient_Greece,24
2022,Monster_High,Nefertiti,178
2022,Ancient_Egypt,Chariot,101
2022,North_Africa_during_Antiquity,Mauretania,286
2022,Claudius,Mauretania,99
2022,List_of_kingdoms_in_pre-colonial_Africa,Mauretania,211
2022,List_of_Roman_dictators,Julius_Caesar,546
2022,Cleopatra_(1963_film),Herbert_Berghof,166
2022,Alexander_the_Great,Neoptolemus_I_of_Epirus,259
2022,Ancient_Egypt,Third_Dynasty_of_Egypt,53
2022,Ptolemy_I_Soter,Ptolemaic_Kingdom,3935
2022,Julius_Caesar,Praetor,247
2022,Ancient_Rome,Byzantine_Empire,3683
2022,Fernand_Braudel,Historiography,36
2022,Upper_and_Lower_Egypt,Ancient_Egypt,235
2022,Beer,Ancient_Egypt,22
2022,Meni_(high_official),Ancient_Egypt,134
2022,Djoser,Ancient_Egypt,144
2022,Siwa_Oasis,Ancient_Egypt,64
2022,The_Mummy_(1932_film),Ancient_Egypt,38
2022,World_Heritage_Site,Ancient_Egypt,57
2022,Ahmose_I,Ancient_Egypt,39
2022,Mark_Antony,Crisis_of_the_Roman_Republic,312
2022,Roman_villa,Roman_Villa_Borg,309
2022,Battle_of_Actium,Lucius_Arruntius_(consul_22_BC),365
2022,Marcus_Aemilius_Lepidus_(triumvir),Lucius_Antonius_(brother_of_Mark_Antony),95
2022,Cleopatra_(1963_film),Michael_Gwynn,141
2022,History_of_the_steam_engine,Roman_Egypt,40
2022,November_25,Roman_triumph,65
2022,Caesarion,Caesareum_of_Alexandria,397
2022,Amphipolis,Alexander_the_Great,85
2022,King_(playing_card),Alexander_the_Great,433
2022,Socrates,Alexander_the_Great,117
2022,List_of_suicides,Alexander_the_Great,27
2022,Julius_Caesar,"Charles_V,_Holy_Roman_Emperor",54
2022,Library_of_Alexandria,Peripatetic_school,48
2022,Julius_Caesar,Lex_Vatinia,130
2022,The_Shards_of_Heaven,Juba_II,11
2022,Antony_and_Cleopatra,Alexandria,69
2022,History_of_the_Jews_in_Alexandria,Alexandria,82
2022,Stargate_(film),Egyptian_language,59
2022,Egyptian,Egyptian_language,215
2022,Mediterranean_Sea,Saint_George_Bay,22
2022,Alexandria,Red_Sea,90
2022,ABCs_of_Death_2,Eunuch,558
2022,The_Art_of_Grammar,Koine_Greek,12
2022,History_of_Latin,Koine_Greek,56
2022,Greek_language,Greek_diaspora,821
2022,Ancient_Rome,Nazi_salute,44
2022,Burlesque,The_Night_They_Raided_Minsky's,55
2022,Mauretania,Algeria,265
2022,Roman_Egypt,Roman_citizenship,27
2022,Cleopatra_race_controversy,Early_life_of_Cleopatra,107
2022,Ancient_Egypt,Commander,33
2022,Tsakonian_language,Greek_language,123
2022,Ancient_Rome,Battle_of_Pharsalus,12
2022,John_the_Baptist,Roman_Empire,322
2022,Timeline_of_ancient_history,Roman_Empire,281
2022,Mithraism,Roman_Empire,270
2022,Mongolia,Roman_Empire,12
2022,Catacombs,Roman_Empire,155
2022,Ancient_Egypt,Mark_Antony,260
2022,The_Method_of_Mechanical_Theorems,Library_of_Alexandria,39
2022,History_of_science_and_technology_in_Africa,Library_of_Alexandria,34
2022,Heracles,Hellenistic_period,150
2022,Neoclassicism,Hellenistic_period,122
2022,Sport,Pharaoh,13
2022,Outline_of_ancient_Egypt,Pharaoh,63
2022,War_of_Actium,Pharaoh,62
2022,Augustus,Promagistrate,20
2022,Seleucid_dynasty,Parthian_Empire,42
2022,Mount_Carmel,Mediterranean_Sea,31
2022,Mediterranean_Basin,Mediterranean_Sea,1748
2022,Eruca_vesicaria,Mediterranean_Sea,51
2022,Dinar,Mediterranean_Sea,53
2022,Amicitia,List_of_Roman_client_rulers,42
2022,Hellenistic_period,Greco-Roman_world,162
2022,Ptolemaic_Kingdom,Zenon_of_Kaunos,35
2022,Ancient_Rome,Death_of_Cleopatra,54
2022,Roman_Empire,Post-classical_history,46
2022,Diadem,Nineteenth_Dynasty_of_Egypt,106
2022,Juba_II,Herod_the_Great,93
2022,Library_of_Alexandria,Lighthouse_of_Alexandria,115
2022,Cleopatra_IV,Cleopatra_V,519
2022,Greek_alphabet,Classical_Greece,394
2022,Ptolemy_Philadelphus_(son_of_Cleopatra),Marcus_Antonius_Antyllus,844
2022,Assassination_of_Julius_Caesar,Roman_imperial_cult,127
2022,Hellenistic_period,Lysimachus,76
2022,Piracy,Pompey,39
